Species,Genus,SpeciesPurvis,GenusPurvis,Taxon,Great ape,Innovation,Tool use,Extractive foraging,Social learning,Innovation (Reduced),Tool use (Reduced),Extractive foraging (Reduced),Journal Search Article Count,Zoological Record Article Count,Journal reports (2002 dataset),Innovation (2002 dataset),Social learning  (2002 dataset),Tool use (2002 dataset),
Presbytis rubicunda,Presbytis,Presbytis rubicunda,Presbytis,Simian,No,0,0,0,0,0,0,0,2,3,,,,,
Presbytis thomasi,Presbytis,Presbytis thomasi,Presbytis,Simian,No,0,0,0,0,0,0,0,3,,,,,,
Presbytis vetulus,Presbytis,Presbytis vetulus,Presbytis,Simian,No,0,0,0,0,0,0,0,,2,,,,,
Procolobus pennantii,Procolobus,Procolobus pennantii,Procolobus,Simian,No,0,0,0,0,0,0,0,2,,,,,,
Procolobus preussi,Procolobus,Procolobus preussi,Procolobus,Simian,No,0,0,0,0,0,0,0,1,,,,,,
Procolobus verus,Procolobus,Procolobus verus,Procolobus,Simian,No,0,0,0,0,0,0,0,,3,,,,,
Propithecus diadema,Propithecus,Propithecus diadema,Propithecus,Prosimian,No,0,0,0,0,0,0,0,9,28,3,0,0,0,
Propithecus tattersalli,Propithecus,Propithecus tattersalli,Propithecus,Prosimian,No,0,0,0,0,0,0,0,1,9,,,,,
Propithecus verreauxi,Propithecus,Propithecus verreauxi,Propithecus,Prosimian,No,0,0,0,1,0,0,0,13,41,3,0,1,0,
Pygathrix avunculus,Pygathrix,Pygathrix avunculus,Pygathrix,Simian,No,0,0,0,0,0,0,0,2,11,,,,,
Pygathrix bieti,Pygathrix,Pygathrix bieti,Pygathrix,Simian,No,0,0,0,0,0,0,0,8,,,,,,
Pygathrix brelichi,Pygathrix,Pygathrix brelichi,Pygathrix,Simian,No,0,0,0,0,0,0,0,1,16,1,0,0,0,
Pygathrix nemaeus,Pygathrix,Pygathrix nemaeus,Pygathrix,Simian,No,0,0,0,0,0,0,0,2,25,,,,,
Pygathrix roxellana,Pygathrix,Pygathrix roxellana,Pygathrix,Simian,No,1,0,1,0,0,0,0,12,36,9,0,0,0,
Saguinus bicolor,Saguinus,Saguinus bicolor,Saguinus,Simian,No,0,0,0,0,0,0,0,1,9,1,0,0,0,
Saguinus fuscicollis,Saguinus,Saguinus fuscicollis,Saguinus,Simian,No,1,1,1,2,1,1,1,20,81,9,1,2,1,
Saguinus geoffroyi,Saguinus,Saguinus geoffroyi,Saguinus,Simian,No,0,0,0,0,0,0,0,6,,,,,,
Saguinus imperator,Saguinus,Saguinus imperator,Saguinus,Simian,No,0,0,0,0,0,0,0,4,16,,,,,
Saguinus inustus,Saguinus,Saguinus inustus,Saguinus,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Saguinus labiatus,Saguinus,Saguinus labiatus,Saguinus,Simian,No,0,0,0,2,0,0,0,11,27,3,0,2,0,
Saguinus leucopus,Saguinus,Saguinus leucopus,Saguinus,Simian,No,0,0,0,0,0,0,0,,3,,,,,
Saguinus midas,Saguinus,Saguinus midas,Saguinus,Simian,No,0,0,0,0,0,0,0,4,17,2,0,0,0,
Saguinus mystax,Saguinus,Saguinus mystax,Saguinus,Simian,No,4,0,0,0,4,0,0,17,46,7,4,0,0,
Saguinus nigricollis,Saguinus,Saguinus nigricollis,Saguinus,Simian,No,0,0,0,0,0,0,0,1,3,,,,,
Saguinus oedipus,Saguinus,Saguinus oedipus,Saguinus,Simian,No,0,0,0,0,0,0,0,33,153,6,0,0,0,
Saguinus tripartitus,Saguinus,Saguinus tripartitus,Saguinus,Simian,No,0,0,0,0,0,0,0,1,5,,,,,
Nasalis concolor,Nasalis,Simias concolor,Simias,Simian,No,0,0,0,0,0,0,0,2,4,1,0,0,0,
Tarsius bancanus,Tarsius,Tarsius bancanus,Tarsius,Tarsier,No,0,0,0,0,0,0,0,3,8,,,,,
Tarsius dianae,Tarsius,Tarsius dianae,Tarsius,Tarsier,No,0,0,0,0,0,0,0,4,2,1,0,0,0,
Tarsius pumilis,Tarsius,Tarsius pumilis,Tarsius,Tarsier,No,0,0,0,0,0,0,0,,0,,,,,
Tarsius spectrum,Tarsius,Tarsius spectrum,Tarsius,Tarsier,No,0,0,0,0,0,0,0,8,9,,,,,
Tarsius syrichta,Tarsius,Tarsius syrichta,Tarsius,Tarsier,No,0,0,0,0,0,0,0,,10,,,,,
Theropithecus gelada,Theropithecus,Theropithecus gelada,Theropithecus,Simian,No,0,0,0,0,0,0,0,10,34,3,0,0,0,
Varecia variegata,Varecia,Varecia variegata,Varecia,Prosimian,No,0,0,0,0,0,0,0,13,57,2,0,0,0,
