Species,Genus,SpeciesPurvis,GenusPurvis,Taxon,Great ape,Innovation,Tool use,Extractive foraging,Social learning,Innovation (Reduced),Tool use (Reduced),Extractive foraging (Reduced),Journal Search Article Count,Zoological Record Article Count,Journal reports (2002 dataset),Innovation (2002 dataset),Social learning  (2002 dataset),Tool use (2002 dataset),
Saimiri oerstedii,Saimiri,Saimiri oerstedii,Saimiri,Simian,No,0,0,0,1,0,0,0,4,4,2,0,1,0,
Saimiri sciureus,Saimiri,Saimiri sciureus,Saimiri,Simian,No,3,0,2,1,1,0,0,73,89,16,2,1,0,
Saimiri ustus,Saimiri,Saimiri ustus,Saimiri,Simian,No,0,0,0,0,0,0,0,,4,,,,,
Saimiri vanzolinii,Saimiri,Saimiri vanzolinii,Saimiri,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Allenopithecus nigroviridis,Allenopithecus,Allenopithecus nigroviridis,Allenopithecus,Simian,No,0,0,0,0,0,0,0,,6,,,,,
Allocebus trichotis,Allocebus,Allocebus trichotis,Allocebus,Prosimian,No,0,0,0,0,0,0,0,3,6,2,0,0,0,
Alouatta belzebul,Alouatta,Alouatta belzebul,Alouatta,Simian,No,0,0,0,0,0,0,0,3,15,1,0,0,0,
Alouatta caraya,Alouatta,Alouatta caraya,Alouatta,Simian,No,1,0,1,0,0,0,0,7,45,3,1,0,0,
Alouatta coibensis,Alouatta,Alouatta coibensis,Alouatta,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Alouatta fusca,Alouatta,Alouatta fusca,Alouatta,Simian,No,1,0,0,0,1,0,0,6,37,3,0,0,0,
Alouatta palliata,Alouatta,Alouatta palliata,Alouatta,Simian,No,0,0,0,3,0,0,0,41,79,5,0,3,0,
Alouatta pigra,Alouatta,Alouatta pigra,Alouatta,Simian,No,0,0,0,0,0,0,0,8,25,,,,,
Alouatta sara,Alouatta,Alouatta sara,Alouatta,Simian,No,0,0,0,0,0,0,0,,4,,,,,
Alouatta seniculus,Alouatta,Alouatta seniculus,Alouatta,Simian,No,4,1,0,0,4,1,0,28,82,8,4,0,0,
Aotus azarai,Aotus,Aotus azarai,Aotus,Simian,No,0,0,0,0,0,0,0,2,22,,,,,
Aotus brumbacki,Aotus,Aotus brumbacki,Aotus,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Aotus hershkovitzi,Aotus,Aotus hershkovitzi,Aotus,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Aotus infulatus,Aotus,Aotus infulatus,Aotus,Simian,No,0,0,0,0,0,0,0,,6,,,,,
Aotus lemurinus,Aotus,Aotus lemurinus,Aotus,Simian,No,0,0,0,0,0,0,0,1,16,1,0,0,0,
